iter,time,reward,steps,convergence,policy
1,1.886757,-316,409,69.5119,FALSE
2,1.338217,-25,109,54.57580194,FALSE
3,1.829824,-55,139,48.76500701,FALSE
4,2.289809,74,28,38.1501223,FALSE
5,3.469143,92,10,29.38438446,FALSE
6,4.537584,80,22,22.65266168,TRUE
7,5.315253,91,11,17.6856193,FALSE
8,5.716507,78,24,15.18884829,TRUE
9,6.190723,89,13,14.90286386,TRUE
10,5.191776,79,14,12.00151281,TRUE
11,5.519374,79,23,8.57392587,TRUE
12,7.695575,89,13,5.73323099,TRUE
13,6.847922,77,16,3.696379989,TRUE
14,7.838225,93,9,2.327903246,TRUE
15,7.442599,87,15,1.441528682,TRUE
16,9.51294,71,13,0.881368715,TRUE
17,10.231538,89,13,0.533677986,TRUE
18,7.955968,93,9,0.320772276,TRUE
19,10.313499,89,13,0.191734999,FALSE
20,9.197583,88,14,0.114134599,TRUE
21,8.964692,88,14,0.096177534,TRUE
22,11.305755,93,9,0.058247585,TRUE
23,11.625849,88,14,0.034379265,TRUE
24,10.937763,92,10,0.020325204,TRUE
25,10.74714,89,13,0.012068867,TRUE
26,11.918628,89,13,0.007193812,TRUE
27,13.433046,86,16,0.004300489,TRUE
28,12.331547,85,17,0.002576296,TRUE
29,14.270057,84,18,0.001545698,TRUE
30,13.203565,88,14,0.000928342,TRUE
31,12.682781,82,20,0.000557961,TRUE
32,13.062909,87,15,0.000335515,TRUE
33,15.000264,90,12,0.000201819,TRUE
34,15.418359,84,18,0.000121424,TRUE
35,17.248619,89,13,7.31E-05,TRUE
36,15.81843,84,18,4.40E-05,TRUE
37,15.965056,90,12,2.65E-05,TRUE
38,16.068412,92,10,1.59E-05,TRUE
39,16.524966,91,11,9.58E-06,TRUE
40,17.538465,89,13,5.77E-06,TRUE
41,19.439121,88,14,3.47E-06,TRUE
42,19.595544,89,13,2.09E-06,TRUE
43,18.69035,93,9,1.26E-06,TRUE
44,18.713534,79,23,7.56E-07,TRUE
45,19.377645,90,12,4.55E-07,TRUE
46,19.419812,86,16,2.74E-07,TRUE
47,21.33164,88,14,1.65E-07,TRUE
48,20.471,89,13,9.91E-08,TRUE
49,21.178196,83,19,5.96E-08,TRUE
50,20.746478,88,14,3.59E-08,TRUE
51,22.772983,88,14,2.16E-08,TRUE
52,24.930206,92,10,1.30E-08,TRUE
53,21.268179,87,15,7.81E-09,TRUE
54,22.567184,88,14,4.70E-09,TRUE
55,23.061025,90,12,2.83E-09,TRUE
56,24.745848,93,9,1.70E-09,TRUE
57,24.643484,61,23,1.02E-09,TRUE
58,24.016401,86,16,6.15E-10,TRUE
59,25.854596,72,21,3.70E-10,TRUE
60,26.429998,91,11,2.23E-10,TRUE
61,26.120828,86,16,1.34E-10,TRUE
62,26.954596,87,15,8.06E-11,TRUE
63,26.041043,88,14,4.85E-11,TRUE
64,31.349617,91,11,2.91E-11,TRUE
65,29.101777,86,16,1.76E-11,TRUE
66,29.743805,91,11,1.06E-11,TRUE
67,27.927535,92,10,6.37E-12,TRUE
68,29.908618,92,10,3.82E-12,TRUE
69,30.732999,86,16,2.30E-12,TRUE
70,30.213589,89,13,1.39E-12,TRUE
71,34.720754,88,14,8.10E-13,TRUE
72,35.172892,87,15,4.83E-13,TRUE
73,33.027771,86,16,2.98E-13,TRUE
74,36.286957,85,17,1.85E-13,TRUE
75,33.179229,81,21,1.14E-13,TRUE
76,36.962636,92,10,5.68E-14,TRUE
77,33.492179,87,15,2.84E-14,TRUE
78,33.162033,89,13,2.84E-14,TRUE
79,35.286505,88,14,0,TRUE
80,34.338728,91,11,0,TRUE
81,35.744309,87,15,0,TRUE
82,34.499807,83,19,0,TRUE
83,34.912645,90,12,0,TRUE
84,36.328637,92,10,0,TRUE
85,36.517084,81,21,0,TRUE
86,40.655146,90,12,0,TRUE
87,37.326734,87,15,0,TRUE
88,39.117606,91,11,0,TRUE
89,41.716224,88,14,0,TRUE
90,40.057311,87,15,0,TRUE
91,37.918683,85,17,0,TRUE
92,38.755763,88,14,0,TRUE
93,39.359391,91,11,0,TRUE
94,38.923603,79,23,0,TRUE
95,38.569825,77,25,0,TRUE
96,38.826417,91,11,0,TRUE
97,40.308464,88,14,0,TRUE
98,38.881077,91,11,0,TRUE
99,41.717724,89,13,0,TRUE
100,40.179429,89,13,0,TRUE